platform,display_name,run_id,frame_id,latency_ms,resolution_width,resolution_height,fps_target,batch_size,backend,device_name,measurement_scope,include_transfers,timestamp_s,warmup,num_iters,notes
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,73,0.4326660000515403,128,128,180.0,1,cpu,x86_64,compute_only,False,0.032697698999982094,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,74,0.46578499996030587,128,128,180.0,1,cpu,x86_64,compute_only,False,0.03316416699999536,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,75,0.43728500031647854,128,128,180.0,1,cpu,x86_64,compute_only,False,0.03360227000030136,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,76,0.5274049999570707,128,128,180.0,1,cpu,x86_64,compute_only,False,0.0341305580000153,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,77,0.43292700001984485,128,128,180.0,1,cpu,x86_64,compute_only,False,0.034564279000278475,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,78,0.4372349999357539,128,128,180.0,1,cpu,x86_64,compute_only,False,0.035003475999928924,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,79,0.4536460000963416,128,128,180.0,1,cpu,x86_64,compute_only,False,0.035457801000120526,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,80,0.43647299980875687,128,128,180.0,1,cpu,x86_64,compute_only,False,0.03589499700001397,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,81,0.42923000000882894,128,128,180.0,1,cpu,x86_64,compute_only,False,0.036324833999969997,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,82,0.4753479997816612,128,128,180.0,1,cpu,x86_64,compute_only,False,0.036800841000058426,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,83,0.43546599999899627,128,128,180.0,1,cpu,x86_64,compute_only,False,0.03723706500022672,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,84,0.4390529998090642,128,128,180.0,1,cpu,x86_64,compute_only,False,0.03767705300015223,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,85,0.4663470003833936,128,128,180.0,1,cpu,x86_64,compute_only,False,0.038144150000334776,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,86,0.4353090002950921,128,128,180.0,1,cpu,x86_64,compute_only,False,0.03858013400031268,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,87,0.4570199998852331,128,128,180.0,1,cpu,x86_64,compute_only,False,0.039037903000007645,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,88,0.430872999913845,128,128,180.0,1,cpu,x86_64,compute_only,False,0.03946952300020712,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,89,0.43552700026339153,128,128,180.0,1,cpu,x86_64,compute_only,False,0.03990583500035427,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,90,0.43055900005128933,128,128,180.0,1,cpu,x86_64,compute_only,False,0.04033705400024701,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,91,0.43470099990372546,128,128,180.0,1,cpu,x86_64,compute_only,False,0.04077239800017196,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,92,0.43540300021049916,128,128,180.0,1,cpu,x86_64,compute_only,False,0.041208419000213325,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,93,0.4363879997981712,128,128,180.0,1,cpu,x86_64,compute_only,False,0.04164554099997986,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,94,0.4356040003585804,128,128,180.0,1,cpu,x86_64,compute_only,False,0.042083172000275226,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,95,0.4388709999147977,128,128,180.0,1,cpu,x86_64,compute_only,False,0.042522754999936296,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,96,0.48124599970833515,128,128,180.0,1,cpu,x86_64,compute_only,False,0.043004704999930254,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,97,0.431271000252309,128,128,180.0,1,cpu,x86_64,compute_only,False,0.04343679000021439,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,98,0.4459589999896707,128,128,180.0,1,cpu,x86_64,compute_only,False,0.043883577000087826,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,99,0.4461349999473896,128,128,180.0,1,cpu,x86_64,compute_only,False,0.04433040300000357,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,100,0.43139699982930324,128,128,180.0,1,cpu,x86_64,compute_only,False,0.04476256099997045,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,101,0.5528740002773702,128,128,180.0,1,cpu,x86_64,compute_only,False,0.04570389300033639,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,102,0.502988999869558,128,128,180.0,1,cpu,x86_64,compute_only,False,0.046207939999931114,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,103,0.4544100002021878,128,128,180.0,1,cpu,x86_64,compute_only,False,0.04666328800021802,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,104,0.448568999672716,128,128,180.0,1,cpu,x86_64,compute_only,False,0.04711267199991198,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,105,0.5012780002289219,128,128,180.0,1,cpu,x86_64,compute_only,False,0.047614799000257335,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,106,0.44048599966117763,128,128,180.0,1,cpu,x86_64,compute_only,False,0.04805609499999264,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,107,0.5242910001470591,128,128,180.0,1,cpu,x86_64,compute_only,False,0.048581333000129234,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,108,0.43527499974516104,128,128,180.0,1,cpu,x86_64,compute_only,False,0.04901745100005428,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,109,0.431728999956249,128,128,180.0,1,cpu,x86_64,compute_only,False,0.04944999400004235,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,110,0.46576199974879273,128,128,180.0,1,cpu,x86_64,compute_only,False,0.04991772099992886,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,111,0.4335739999987709,128,128,180.0,1,cpu,x86_64,compute_only,False,0.05035214999998061,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,112,0.43028399977629306,128,128,180.0,1,cpu,x86_64,compute_only,False,0.050783314000000246,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,113,0.43867400017916225,128,128,180.0,1,cpu,x86_64,compute_only,False,0.05122276000020065,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,114,0.4365419999885489,128,128,180.0,1,cpu,x86_64,compute_only,False,0.05166025900007298,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,115,0.45123900008547935,128,128,180.0,1,cpu,x86_64,compute_only,False,0.05211237000003166,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,116,0.45905599972684286,128,128,180.0,1,cpu,x86_64,compute_only,False,0.05257226799994896,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,117,0.4349290002210182,128,128,180.0,1,cpu,x86_64,compute_only,False,0.053008057000170083,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,118,0.45978399975865614,128,128,180.0,1,cpu,x86_64,compute_only,False,0.053468651000002865,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,119,0.5296210001688451,128,128,180.0,1,cpu,x86_64,compute_only,False,0.05399916700025642,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,120,0.44017600021106773,128,128,180.0,1,cpu,x86_64,compute_only,False,0.054440175000308955,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,121,0.4448049999155046,128,128,180.0,1,cpu,x86_64,compute_only,False,0.05488593600011882,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,122,0.43274700010442757,128,128,180.0,1,cpu,x86_64,compute_only,False,0.055319465000138734,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,123,0.45709799996984657,128,128,180.0,1,cpu,x86_64,compute_only,False,0.05577746000017214,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,124,0.9323220001533628,128,128,180.0,1,cpu,x86_64,compute_only,False,0.05671053500009293,100,1000,
