platform,run_id,frame_id,latency_ms,resolution_width,resolution_height,fps_target,batch_size,timestamp_s,measurement_method,power_w_before,power_w_after,notes
Jetson Orin NX,run001,101,3.240842,128,128,180,1,1778160988.388078,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,102,3.162536,128,128,180,1,1778160988.3912718,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,103,3.218922,128,128,180,1,1778160988.3945217,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,104,3.218345,128,128,180,1,1778160988.397772,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,105,3.157704,128,128,180,1,1778160988.4009616,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,106,3.200009,128,128,180,1,1778160988.4041932,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,107,4.028317,128,128,180,1,1778160988.408484,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,108,3.229034,128,128,180,1,1778160988.4117453,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,109,3.211177,128,128,180,1,1778160988.4149866,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,110,3.178153,128,128,180,1,1778160988.4181974,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,111,3.190857,128,128,180,1,1778160988,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,112,3.147656,128,128,180,1,1778160988.4245996,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,113,3.23425,128,128,180,1,1778160988.4278655,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,114,3.216874,128,128,180,1,1778160988.4311135,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,115,3.176617,128,128,180,1,1778160988.434321,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,116,3.180009,128,128,180,1,1778160988.437532,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,117,3.155913,128,128,180,1,1778160988.4407182,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,118,3.19857,128,128,180,1,1778160988.443948,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,119,3.187625,128,128,180,1,1778160988.4471684,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,120,3.178377,128,128,180,1,1778160988.4503775,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,121,3.174728,128,128,180,1,1778160988.4535837,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,122,3.112007,128,128,180,1,1778160988.4567282,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,123,3.179369,128,128,180,1,1778160988.4599376,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,124,3.225578,128,128,180,1,1778160988.4631946,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,125,3.225706,128,128,180,1,1778160988.4664514,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,126,3.265098,128,128,180,1,1778160988.4697485,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,127,3.719701,128,128,180,1,1778160988.4735255,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,128,3.16404,128,128,180,1,1778160988.476721,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,129,3.259882,128,128,180,1,1778160988.480013,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,130,3.21153,128,128,180,1,1778160988.483256,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,131,3.177833,128,128,180,1,1778160988.4864652,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,132,3.25457,128,128,180,1,1778160988.4897513,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,133,3.158792,128,128,180,1,1778160988.4929416,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,134,3.687317,128,128,180,1,1778160988.4966588,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,135,3.150632,128,128,180,1,1778160988.499841,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,136,3.205193,128,128,180,1,1778160988.5030777,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,137,3.190217,128,128,180,1,1778160988.5062995,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,138,3.189769,128,128,180,1,1778160988.5095217,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,139,3.111079,128,128,180,1,1778160988.5126634,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,140,3.155592,128,128,180,1,1778160988.5158498,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,141,3.167272,128,128,180,1,1778160988.5190492,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,142,3.204201,128,128,180,1,1778160988.522285,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,143,3.229258,128,128,180,1,1778160988.5255458,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,144,3.160456,128,128,180,1,1778160988.5287378,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
Jetson Orin NX,run001,145,3.193257,128,128,180,1,1778160988.5319612,jetson_torch_cuda_app_e2e,nan,nan,Jetson integrated SoC; host-device movement is not discrete PCIe H2D/D2H.
