timestamp_s,phase,target_fps,total_power_w,mem_used_mb
368.222496378,idle_measure,,5.98,2712.28125
368.272504286,idle_measure,,5.98,2712.28125
368.322487458,idle_measure,,5.98,2712.03515625
368.372479814,idle_measure,,5.98,2712.03515625
368.422477546,idle_measure,,5.98,2712.03515625
368.472476654,idle_measure,,5.98,2712.03515625
368.522475687,idle_measure,,5.98,2712.03515625
368.572475995,idle_measure,,5.98,2712.03515625
368.622477456,idle_measure,,5.98,2712.03515625
368.67247754,idle_measure,,5.98,2712.03515625
368.722475992,idle_measure,,5.98,2712.03515625
368.772475692,idle_measure,,5.98,2712.03515625
368.822476033,idle_measure,,5.98,2712.03515625
368.87249791,idle_measure,,5.98,2712.03515625
368.922478537,idle_measure,,5.98,2712.03515625
368.972477342,idle_measure,,5.98,2712.03515625
369.02247749,idle_measure,,5.98,2712.03515625
369.072480902,idle_measure,,5.98,2712.03515625
369.122476858,idle_measure,,5.98,2712.03515625
369.172478991,idle_measure,,5.98,2712.03515625
369.222476291,idle_measure,,5.98,2712.03515625
369.272782693,idle_measure,,5.98,2712.03515625
369.322488844,idle_measure,,5.98,2713.01953125
369.376643961,active_settle,30,5.98,2713.01953125
369.424465292,active_settle,30,5.98,2713.01953125
369.474727436,active_settle,30,5.98,2713.01953125
369.523155023,active_settle,30,5.98,2713.01953125
369.57491261,active_settle,30,5.98,2713.01953125
369.624116451,active_settle,30,5.98,2713.01953125
369.675195639,active_settle,30,5.98,2713.01953125
369.723049532,active_settle,30,5.98,2713.01953125
369.772975678,active_settle,30,5.98,2713.01953125
369.823221613,active_settle,30,5.98,2713.01953125
369.873145966,active_settle,30,5.98,2713.01953125
369.923259704,active_settle,30,5.98,2713.01953125
369.973332287,active_settle,30,5.98,2713.01953125
370.023690772,active_settle,30,5.98,2713.01953125
370.073538449,active_settle,30,5.98,2713.01953125
370.124203155,active_settle,30,5.98,2713.01953125
370.176633187,active_settle,30,5.98,2713.01953125
370.222810718,active_settle,30,5.98,2713.01953125
370.272814243,active_settle,30,6.133,2712.28515625
370.322675105,active_settle,30,6.133,2712.28515625
370.37422065,active_settle,30,6.133,2712.28515625
370.424397815,active_settle,30,6.133,2712.28515625
370.474645158,active_settle,30,6.133,2712.28515625
370.524587933,active_settle,30,6.133,2712.28515625
370.572893735,active_settle,30,6.133,2712.28515625
370.622754678,active_settle,30,6.133,2712.28515625
370.672737578,active_settle,30,6.133,2712.28515625
370.722842148,active_settle,30,6.133,2712.28515625
370.772715699,active_settle,30,6.133,2712.28515625
370.823058199,active_settle,30,6.133,2712.28515625
370.873004745,active_settle,30,6.133,2712.28515625
370.923260874,active_settle,30,6.133,2712.28515625
370.973117176,active_settle,30,6.133,2712.28515625
371.023446076,active_settle,30,6.133,2712.28515625
371.073811841,active_settle,30,6.133,2712.28515625
371.12364955,active_settle,30,6.133,2712.28515625
371.173509821,active_settle,30,6.133,2712.28515625
371.22454736,active_settle,30,6.133,2712.28515625
371.274193317,active_settle,30,6.133,2712.0390625
371.324142872,active_settle,30,6.133,2712.0390625
371.373934115,active_settle,30,6.133,2712.0390625
371.424239846,active_settle,30,6.133,2712.0390625
371.474100437,active_settle,30,6.133,2712.0390625
371.52446235,active_settle,30,6.133,2712.0390625
371.574317134,active_settle,30,6.133,2712.0390625
371.622689804,active_settle,30,6.133,2712.0390625
371.674499393,active_settle,30,6.133,2712.0390625
371.72275497,active_settle,30,6.133,2712.0390625
371.772596409,active_settle,30,6.133,2712.0390625
371.822965615,active_settle,30,6.133,2712.0390625
371.872900146,active_settle,30,6.133,2712.0390625
371.923112128,active_settle,30,6.133,2712.0390625
371.973007681,active_settle,30,6.133,2712.0390625
372.023369399,active_settle,30,6.133,2712.0390625
372.073234743,active_settle,30,6.133,2712.0390625
372.123539498,active_settle,30,6.133,2712.0390625
372.173941633,active_settle,30,6.133,2712.0390625
372.223906117,active_settle,30,6.133,2712.0390625
372.273880041,active_settle,30,6.133,2712.0390625
372.323978707,active_settle,30,6.133,2712.0390625
372.374540593,active_settle,30,6.133,2712.0390625
372.423494409,active_settle,30,6.133,2712.0390625
372.474029702,active_settle,30,6.133,2712.0390625
372.523682418,active_settle,30,6.133,2712.0390625
372.573920883,active_settle,30,6.133,2712.0390625
372.624504259,active_settle,30,6.133,2712.0390625
372.674365171,active_settle,30,6.133,2712.0390625
372.72316495,active_settle,30,6.133,2712.0390625
372.774570953,active_settle,30,6.133,2712.0390625
372.824083403,active_settle,30,6.133,2712.0390625
372.872965649,active_settle,30,6.133,2712.0390625
372.923072236,active_settle,30,6.133,2712.0390625
372.973010208,active_settle,30,6.133,2712.0390625
373.023256545,active_settle,30,6.133,2712.0390625
373.073130194,active_settle,30,6.133,2712.0390625
373.123429206,active_settle,30,6.133,2712.0390625
373.173295079,active_settle,30,6.133,2712.0390625
373.223032466,active_settle,30,6.133,2712.0390625
373.274368194,active_settle,30,6.133,2711.546875
373.323882884,active_settle,30,6.133,2711.546875
373.373688242,active_settle,30,6.133,2711.546875
373.422919175,active_settle,30,6.133,2711.546875
373.473792644,active_settle,30,6.133,2711.546875
373.524107709,active_settle,30,6.133,2711.546875
373.574534263,active_settle,30,6.133,2711.546875
373.624424346,active_settle,30,6.133,2711.546875
373.674276508,active_settle,30,6.133,2711.546875
373.724595697,active_settle,30,6.133,2711.546875
373.772995188,active_settle,30,6.133,2711.546875
373.82319306,active_settle,30,6.133,2711.546875
373.873054982,active_settle,30,6.133,2711.546875
373.924535214,active_settle,30,6.133,2711.546875
373.972670405,active_settle,30,6.133,2711.546875
374.022630955,active_settle,30,6.133,2711.546875
374.073054661,active_settle,30,6.133,2711.546875
374.123325304,active_settle,30,6.133,2711.546875
374.173122967,active_settle,30,6.133,2711.546875
374.224050215,active_settle,30,6.133,2711.546875
374.273685983,active_settle,30,6.133,2711.546875
374.32376177,active_settle,30,6.133,2712.0390625
374.373610123,active_settle,30,6.133,2712.0390625
374.423594739,active_settle,30,6.133,2712.0390625
374.473774338,active_settle,30,6.133,2712.0390625
374.523324908,active_settle,30,6.133,2712.0390625
374.573835931,active_settle,30,6.133,2712.0390625
374.624250086,active_settle,30,6.133,2712.0390625
374.673068653,active_settle,30,6.133,2712.0390625
374.724414527,active_settle,30,6.133,2712.0390625
374.774090923,active_settle,30,6.133,2712.0390625
374.824622843,active_settle,30,6.133,2712.0390625
374.873659499,active_settle,30,6.133,2712.0390625
374.922765021,active_settle,30,6.133,2712.0390625
374.973625115,active_settle,30,6.133,2712.0390625
375.022956696,active_settle,30,6.133,2712.0390625
375.073397092,active_settle,30,6.133,2712.0390625
375.123175796,active_settle,30,6.133,2712.0390625
375.172953347,active_settle,30,6.133,2712.0390625
375.222835479,active_settle,30,6.133,2712.0390625
375.27431736,active_settle,30,6.133,2711.79296875
375.323669101,active_settle,30,6.133,2711.79296875
375.373523616,active_settle,30,6.133,2711.79296875
375.42381143,active_settle,30,6.133,2711.79296875
375.474106828,active_settle,30,6.133,2711.79296875
375.523949524,active_settle,30,6.133,2711.79296875
375.574309582,active_settle,30,6.133,2711.79296875
375.62462439,active_settle,30,6.133,2711.79296875
375.674509772,active_settle,30,6.133,2711.79296875
375.722686313,active_settle,30,6.133,2711.79296875
375.772681268,active_settle,30,6.133,2711.79296875
375.824560238,active_settle,30,6.133,2711.79296875
375.872795598,active_settle,30,6.133,2711.79296875
