platform,target_fps,phase,sample_time_s,power_w
RTX 4090,30,idle_measure,5.1823766059824266,71.703
RTX 4090,30,idle_measure,5.202712969999993,71.703
RTX 4090,30,idle_measure,5.223026495979866,71.703
RTX 4090,30,idle_measure,5.243344878981588,71.703
RTX 4090,30,idle_measure,5.263715226989007,71.703
RTX 4090,30,idle_measure,5.284029301983537,71.703
RTX 4090,30,idle_measure,5.30434314897866,71.703
RTX 4090,30,idle_measure,5.324679865996586,71.703
RTX 4090,30,idle_measure,5.344978099979926,71.703
RTX 4090,30,idle_measure,5.365341669996269,71.703
RTX 4090,30,idle_measure,5.3856997009716,71.703
RTX 4090,30,idle_measure,5.406014612992294,71.703
RTX 4090,30,idle_measure,5.426332000992261,71.703
RTX 4090,30,idle_measure,5.446665388997644,71.703
RTX 4090,30,idle_measure,5.466958059987519,71.703
RTX 4090,30,idle_measure,5.487273972976254,71.69
RTX 4090,30,idle_measure,5.507564282976091,71.69
RTX 4090,30,idle_measure,5.527889284974663,71.69
RTX 4090,30,idle_measure,5.5482147989969235,71.69
RTX 4090,30,idle_measure,5.56853958699503,71.69
RTX 4090,30,idle_measure,5.5889095069724135,71.69
RTX 4090,30,idle_measure,5.609222935978323,71.69
RTX 4090,30,idle_measure,5.629580451990478,71.69
RTX 4090,30,idle_measure,5.6499125589907635,71.69
RTX 4090,30,idle_measure,5.670225867972476,71.69
RTX 4090,30,idle_measure,5.690544331999263,71.69
RTX 4090,30,idle_measure,5.710916939977324,71.69
RTX 4090,30,idle_measure,5.731227344978834,71.69
RTX 4090,30,idle_measure,5.751567623985466,71.69
RTX 4090,30,idle_measure,5.771917023987044,71.69
RTX 4090,30,idle_measure,5.792232958978275,71.69
RTX 4090,30,idle_measure,5.812569635978434,71.69
RTX 4090,30,idle_measure,5.832882343995152,71.69
RTX 4090,30,idle_measure,5.8531908379809465,71.69
RTX 4090,30,idle_measure,5.873523915972328,71.69
RTX 4090,30,idle_measure,5.89380382199306,71.69
RTX 4090,30,idle_measure,5.914128680975409,71.69
RTX 4090,30,idle_measure,5.934437280986458,71.69
RTX 4090,30,idle_measure,5.954771668999456,71.69
RTX 4090,30,idle_measure,5.975096112990286,71.754
RTX 4090,30,idle_measure,5.995425353990868,71.754
RTX 4090,30,idle_measure,6.015747179975733,71.754
RTX 4090,30,idle_measure,6.036008534982102,71.754
RTX 4090,30,idle_measure,6.056312385975616,71.754
RTX 4090,30,idle_measure,6.076680582977133,71.754
RTX 4090,30,idle_measure,6.096993753977586,71.754
RTX 4090,30,idle_measure,6.117313081980683,71.754
RTX 4090,30,idle_measure,6.137696703983238,71.754
RTX 4090,30,idle_measure,6.158003853983246,71.754
RTX 4090,30,idle_measure,6.178241776971845,71.754
RTX 4090,30,idle_measure,6.1983881809865125,71.754
RTX 4090,30,idle_measure,6.218681492988253,71.754
RTX 4090,30,idle_measure,6.238962856994476,71.754
RTX 4090,30,idle_measure,6.259282967977924,71.754
RTX 4090,30,idle_measure,6.279597317974549,71.754
RTX 4090,30,idle_measure,6.299952489993302,71.754
RTX 4090,30,idle_measure,6.3202563419763464,71.754
RTX 4090,30,idle_measure,6.340604273980716,71.754
RTX 4090,30,idle_measure,6.360937101999298,71.754
RTX 4090,30,idle_measure,6.38123038597405,71.754
RTX 4090,30,idle_measure,6.401465938979527,71.754
RTX 4090,30,idle_measure,6.421768072992563,71.754
RTX 4090,30,idle_measure,6.44196146298782,71.754
RTX 4090,30,idle_measure,6.462264039990259,71.754
RTX 4090,30,idle_measure,6.482617000991013,71.848
RTX 4090,30,idle_measure,6.502969884983031,71.848
RTX 4090,30,idle_measure,6.5232778349891305,71.848
RTX 4090,30,idle_measure,6.543603112979326,71.848
RTX 4090,30,idle_measure,6.563845670985756,71.848
RTX 4090,30,idle_measure,6.584154565993231,71.848
RTX 4090,30,idle_measure,6.604473261977546,71.848
RTX 4090,30,idle_measure,6.624790268979268,71.848
