fitted,residual
-7.852605749002582853e-05,-2.113909346974741715e-04
-5.446264178957646368e-04,-9.624272272923536323e-05
-9.613157653602753946e-04,-2.288697815147246054e-04
-1.161565387913620533e-03,-3.490547292738794671e-04
-6.384635496736387750e-04,-2.846931886076112250e-04
-4.881580013917579492e-04,-7.752643139492050757e-06
-8.439803843747674004e-04,-1.249527210939825996e-04
-9.047159615497036298e-04,1.970619592470362978e-05
-7.392286645421061080e-04,1.670240746983561080e-04
-6.325178742106465565e-04,-2.143449187581034435e-04
-7.494481236057698231e-04,-2.957789271754801769e-04
-1.207484172601919724e-03,-2.726183664605802762e-04
-1.284904881856045993e-03,-4.393382822064540068e-04
-1.087344037164253516e-03,-4.003878964294964836e-04
-1.135770856117086216e-03,-3.977374446641637838e-04
-7.739949393508761257e-04,-4.085612129928738743e-04
-1.157621556218347213e-04,-9.786089125316527865e-05
3.333672705112363985e-04,-3.715142431674863985e-04
2.508217771761096847e-04,9.482423551403153412e-07
4.346588470785864040e-04,-1.523712494223364040e-04
3.137187869406754862e-04,-1.153545291281754862e-04
7.781657818970932829e-05,-1.769987070959593283e-04
-3.545113064670103601e-04,-2.405814669704896399e-04
-6.345805361758997259e-04,-4.106465146053502741e-04
-1.771638259451635111e-04,-2.043059006173364889e-04
2.078179203904758352e-04,-1.086357914842258352e-04
2.757080703062806510e-04,-4.682623436878065098e-05
1.902255202126030046e-04,1.988736008811469954e-04
1.863951532944299995e-04,5.774547170557000047e-05
-1.099790423501510945e-04,-2.104555279623489055e-04
-3.039257972108962841e-04,-2.759081871641037159e-04
-4.595482000688615957e-04,-2.805030694623884043e-04
-9.390115170866157796e-05,-1.960158404788384220e-04
2.845811684001156344e-04,-2.540635902751156344e-04
7.057235605476858565e-04,-2.174423105476858565e-04
7.212676652799558446e-04,7.981876050129415538e-05
8.377642328865707701e-04,-1.968950922615707701e-04
5.550135067174360570e-04,-1.048792293736860570e-04
4.332303836611834953e-04,-1.280546024111834953e-04
3.583794377910689459e-04,-2.515679143535689459e-04
2.445598624311422762e-04,-3.437419913373922762e-04
3.862280627764792893e-04,-4.777807971514792893e-04
1.469393317238830193e-04,-1.774569098488830193e-04
-4.312290679202195661e-04,-1.257167328610304339e-04
-9.591645948935980130e-04,-2.005033738564019870e-04
-1.255022955886471491e-03,-4.081850519260285092e-04
-7.917969964953236418e-04,-2.152830816296763582e-04
-6.056507827874768775e-04,7.922256013122687748e-05
-8.570864313915364926e-04,-1.499936467334635074e-04
-1.092672911738070069e-03,1.771455679880700688e-04
-9.154908276954113735e-04,1.678101636329113735e-04
-5.931706675883944646e-04,-1.163630238178555354e-04
-8.556527225653136120e-04,-2.582388789971863880e-04
-1.291690397207337620e-03,-2.875942707614123801e-04
-1.464931682262965353e-03,-5.034521067995346467e-04
-1.372856307975115452e-03,-2.674635162436345484e-04
-1.292512358319524660e-03,-4.698777783992253397e-04
-8.516958563203196357e-04,-4.071542413359303643e-04
-2.190076678620905945e-04,-1.853502422941594055e-04
1.923765231472565423e-04,-2.076353122097565423e-04
3.695562118682478234e-04,-1.101567978057478234e-04
2.562609642683029171e-04,-1.974973379955291715e-05
2.390413129701554108e-04,-1.015947703265541080e-05
1.701828133004462543e-04,-1.778122078316962543e-04
-8.898261556061155320e-05,-3.840398453768884739e-04
-5.803049280306897496e-04,-5.488454625943102504e-04
-3.263663047177653691e-04,-2.153207070009846309e-04
2.522354701438154936e-04,-1.301651576438154936e-04
4.116054102050278234e-04,-2.250628911127782340e-05
2.947797061263160066e-04,2.392779110611839934e-04
2.236639117703646698e-04,1.654352093233853302e-04
-5.678602959614638336e-05,-7.291367743510361664e-05
-1.759305512411764077e-04,-2.665743315713235652e-04
-4.974658260951049689e-04,-2.578442324986450311e-04
-1.895357430213781829e-04,-2.453397452598718442e-04
3.117968685275728132e-04,-2.583911068088228132e-04
7.171208712619659125e-04,-2.898747775119659125e-04
8.490655150838144439e-04,-1.700494018025644439e-04
8.900919045578846228e-04,-2.110757912766346228e-04
7.568210846715996707e-04,-1.922458893590996707e-04
5.616454019538211868e-04,-7.336415195382118681e-05
3.525965574347785089e-04,-2.763026121222785089e-04
2.369567295745577762e-04,-2.445861241058077491e-04
3.129191119680734207e-04,-4.121012408743234207e-04
2.752354590564426288e-04,-7.687120124394262880e-05
-2.909543023674830003e-04,-1.057742132575169997e-04
-9.919973740400488214e-04,-2.210763564287011786e-04
-1.341108451736954628e-03,-3.144701615442953724e-04
-1.019725046276674738e-03,-1.552017115358252618e-04
-7.171689861810591395e-04,1.297056072748091395e-04
-8.820742049270275482e-04,-2.582374429172245179e-05
-1.241844544838777587e-03,1.584705214012775872e-04
-8.981440524772704931e-04,1.046870212272704931e-04
-5.543034417172722651e-04,1.261642999852226506e-05
-1.067759858121535357e-03,8.356796359028535737e-05
-1.350034564428756511e-03,-2.445088926024934894e-04
-1.514930942095658699e-03,-5.068586086855913012e-04
-1.577134177289111995e-03,-2.081441430233880053e-04
-1.431554668147683260e-03,-5.215703318523167396e-04
-9.751486535589751767e-04,-3.676247839410248233e-04
-2.676930790733658564e-04,-3.121409053016341436e-04
3.240363238340328712e-05,1.337273480409671288e-05
2.279301270243545981e-04,-1.668949707743545981e-04
1.586761053640995626e-04,-4.423518739534956258e-05
2.334867268642498131e-04,4.117147626075018689e-05
2.687851331955377248e-04,-1.390854261642877248e-04
-9.951529893866339969e-05,-2.209192713738366003e-04
-6.570050534817986360e-04,-4.721453371432013640e-04
-4.172343304237723788e-04,-3.304463336387276212e-04
1.461621662089333633e-04,-1.766797443339333633e-04
3.954637039675909581e-04,-4.451155553009095807e-05
3.159096543201296678e-04,3.402182753673703322e-04
3.517958049819915620e-04,1.212266559555084380e-04
-5.774827580508218598e-05,-5.669264216366781402e-05
-8.192062288715749071e-05,-1.698493966440925093e-04
-4.198509780364158934e-04,-3.354590805573341066e-04
-2.541897077306374837e-04,-4.019382219568625163e-04
2.496108151170807563e-04,-3.411635494920807563e-04
6.879530205775177083e-04,-3.370008721400177083e-04
8.187593868786226291e-04,-8.633751187862262911e-05
9.307528647814860808e-04,-2.212191733752360808e-04
8.764895355509087858e-04,-2.737673675821587858e-04
6.230582847938697039e-04,1.018146129988029610e-05
4.353766483150704790e-04,-2.217536014400704790e-04
2.557609537896136454e-04,-1.108024576958636454e-04
1.657169034252044346e-04,-3.793399503002044346e-04
3.567825024838807715e-04,-1.279006665463807715e-04
-4.687552680620923873e-05,-5.993599663129076127e-05
-8.478781506605514605e-04,-2.278664782456985395e-04
-1.275258540346432779e-03,-1.819558151223172205e-04
-1.226979917662776717e-03,-1.615698870247232830e-04
-7.575627732439373400e-04,9.380544902518734001e-05
