py_depth,my_depth
1.064418982400120535e-04,-2.288818359375000000e-05
3.430287068785543305e-04,1.296997070312500000e-04
5.712124829853491761e-04,4.196166992187500000e-04
4.671312768020812259e-04,2.822875976562500000e-04
3.441765492075815592e-04,7.629394531250000000e-06
4.225334752751753911e-04,7.629394531250000000e-05
3.948233888197645093e-04,1.831054687500000000e-04
3.703343439616443183e-04,9.918212890625000000e-05
3.872492729658437677e-04,9.918212890625000000e-05
2.878842502525421829e-04,-2.288818359375000000e-05
-2.610723944513479921e-04,-4.501342773437500000e-04
-5.260677243793058502e-04,-5.722045898437500000e-04
-9.552447740908215574e-04,-1.007080078125000000e-03
-8.872415599055044318e-04,-1.190185546875000000e-03
-3.418961545246112675e-04,-4.348754882812500000e-04
-2.964054201760403561e-04,-3.509521484375000000e-04
-6.063640462245423928e-04,-6.637573242187500000e-04
-5.995788692895319839e-04,-7.324218750000000000e-04
-3.300400297877735707e-04,-5.035400390625000000e-04
-4.815077079583620148e-04,-8.239746093750000000e-04
-6.258931048419953073e-04,-7.781982421875000000e-04
-7.860014694092302750e-04,-1.113891601562500000e-03
-8.059823946222056902e-04,-1.060485839843750000e-03
-6.230602743101321594e-04,-8.087158203125000000e-04
-6.547436010741890678e-04,-1.007080078125000000e-03
-5.298731063396782065e-04,-9.613037109375000000e-04
1.563966045826077167e-04,5.340576171875000000e-05
4.263057047845329045e-04,1.602172851562500000e-04
4.595874956928974438e-04,2.365112304687500000e-04
4.306287536610343080e-04,2.517700195312500000e-04
5.003153085302444129e-04,2.822875976562500000e-04
-6.574221842443772504e-05,-2.822875976562500000e-04
-3.422492041507524917e-04,-8.163452148437500000e-04
-4.016973074712206979e-04,-9.994506835937500000e-04
-3.159404749427603188e-05,-1.449584960937500000e-04
7.577717389396220761e-05,6.866455078125000000e-05
2.094652165315788689e-04,6.103515625000000000e-05
1.771632489759619559e-04,1.373291015625000000e-04
1.007330364710728652e-04,-3.051757812500000000e-05
-1.186136009338553817e-04,-4.043579101562500000e-04
-3.138511494154457016e-04,-7.247924804687500000e-04
-3.587479526620687784e-04,-6.408691406250000000e-04
1.875589179979230618e-04,-1.373291015625000000e-04
3.715898814873391451e-04,1.373291015625000000e-04
6.274744037461698959e-04,5.416870117187500000e-04
5.589983524698258991e-04,5.493164062500000000e-04
5.074154613978087329e-04,2.212524414062500000e-04
4.330796267512350634e-04,1.144409179687500000e-04
3.105795386946935167e-04,1.144409179687500000e-04
3.665113442154597123e-04,-1.525878906250000000e-05
3.181918911570612882e-04,1.296997070312500000e-04
3.865575948261562589e-04,-2.288818359375000000e-05
-2.038270271237261017e-04,-3.433227539062500000e-04
-6.242173871791041433e-04,-6.332397460937500000e-04
-1.036887638997522221e-03,-1.014709472656250000e-03
